A batterij zwak	Geen kracht meer
Matsko	Gap
Matsko	Vriend
Matten	Vechten
Mattie	Vriend
Matties	Vrienden
Maεlish	Maakt niet uit
Maεlish!	Laat maar!
Mentos	Ongesteld
Merrie	Mercedes
Method	Hasj
Meti	Vlees
Mi abi spier	Erectie
Mi de	Het gaat
Mi gaddo	Mijn god
Mi goedoe	Mijn schatje
Mi lob you	Ik hou van je
Mi lobo joe	Ik houd van je
Millie	Miljoen euro
Mitti	Meid
Mitti	Meisje
Mo money	Meer geld
Mobila	Mobieltje
Mocro	Marokkaan
Moer	Moeder
Moesoe	Muis
Moffo	Mond
Mokkel	Meisje (mooi)
Mokro	Marokkaan
Mongol	Gek
Morajka	Meisje (mooi)
Mos	Gozer
Mos	Jongen
Motjo	Hoer
Motta	Hasj
Motu	Papzak
Mula	Geld
Mulut	Mond
Musa	Geld
Nacken	Slaan
Nafnoe	Kusje
Naki wan inter	Belazeren
Nakio	Donkere jongen
Nakken	Stelen
Nakken!	Ophouden!
Nakkoe	Niks
Nan da yo	Wat moet je?
Narren	Iemand vervelen
Nasty	Vies
Netjes	Goed zo
Nieges	Ongeluk
Niffauw	Neef
Niffauw	Vriend
Niffow	Neef
Nifo	Neef
Nigga	Neger
Nigga	Vriend (jouw)
Nikka	Vriend (jouw)
Nivi	Mes
Njang mi m	Kus m’n achterwerk
No badda	Geen zorgen
No mang	Nee man
No spang	Geen zorgen
Nogro	Racist
Normoelulu	Normaal
Nosso	Neus
Oefoe	Overval
Oekoe	Hoek
Oema	Meisje
Oetoe	Sukkel
Offie	Politie
Ok ga pia	Ik ga (ervandoor)
Oldies	Oude mensen
Ollo	Feest
Ollo	Gat
Ommin	Te erg
On te bont	Cool
One	Tot ziens
Onmin	Heel erg
Onyx	Cool
Op een feest boren	Zonder uitnodiging op feest
Opjenssen	Oprotten
Oplossen	Weggaan
Ordes	In orde
Oso	Huis
Oso cee	Naar huis
Osso	Huis
O’tje	Xtc-pil
Outka	Utrecht
Ouwe	Vriend
Ov’tje	Overval
Pagga slaan	Masturberen (man)
Paiso	Betalen
Pakkies	Pak slaag
Palla	Nep
Palla	Niet waar
Palla	Onzin
Panja	Cool
Panja	Dronken
Panna	Dronken
Panne	Hasj
Pantat	Kont
Paopa	Goede eter
Paopa	Vriend
Pape	Vriend
Papfles	Hij/zij is niks waard
Para	Gek (maken)
Para	Kapot
Paroe	Ouders
Pataaaat	Shit zeg
Pata’s	Schoenen
Pattas	Schoenen
Peepz	Ganster
Pekie	Vriendin
Perkie	Xtx-pil
Pezavenk	Pooier
Phat	Cool
Pia	Weggaan
Pieltrekken	Masturberen (man)
Pienaren	Arm zijn
Pierie tiefie	Lachen
Pikaan	Weggaan
Pila	Dronken
Pipa	Joint
Pipa	Pistool
Piraat	Somaliër
Pisang	Plassen
Pit	Joint
Pitt	Hasj
Plaeze	Alstublieft
Planga	Bril
Plangas	Zonnebril
Plastic	Credit card
Playa	Pooier
Player	Casanova
Pletzen	Plaatsen
Pocket	Mobieltje
Poeni	Vagina
Poenta	Vagina
Poeny	Vagina
Poes	Vagina
Poese	Vagina
Pokkoe	Liedje
Pokoe	Liedje
Pokoe	Muziek
Pokoes	Songs
Popo	Politie
Porfoto	Rotterdam
Porie	Nep
Portjie	Mobieltje
Pot	Lesbo
Prakseri	Denken
Prikka	Goede prijs
Prikken	Vrijen
Pro-beren	Profiteren
Proeka	Pruik
Qaḥbe	Slet
Qlawi	Balzak
Qowwed!	Donder op!
Rais tha	Feesten tot
Rampa	Gevecht
Reetlikker	Klootzak
Relaxed	Rustig
Remi	Alleen
Ride	Auto
Riden	Chillen
Rippen	Stelen
Rocken	Dragen
Roffa	Rotterdam
Roffadam	Rotterdam
Rug	Duizend euro
Saen-Boogie-Dam	Zaandam
Sagbi	Vriend
Saja luku!	Hou je mond!
Salaam	Hallo
Samsa?	Wat is er?
Sanchi	Vagina
Sang	Ongelooflijk
Sang	Zo
Sani	Ding (een)
Sanka	Bil
Sappen	Stelen
Sappen	Stelen
Sappiemang	Gekke man
Sappig	Lekker
Scaffa	Gek
Scandi	Erg
Scandoules	Schandalig
Scava	Stoned
Scheer	Leeg
Scherp	Intelligent
Schotten	Afzeiken
Schuren	Schudden
Schuren	Tegenaan drukken
Schuren	Wassen
Scoebaas	Schoenen
Scooba	Scooter
Scooby	Scooter
Scorro	School
Scotoe	Politie
Scotten	Negeren
Scouto	Politie
Scrap	Dood
Scribboe	Schrift
Scrilla	Geld
Scumbag	Stom
Shaker	Verwarrend
Shantan	Snel
Shenk	Mes
Shibber	Waardeloos
Shock	Stoot
Shoebas	Schoenen
Shoppa	Coffeeshop
Sickie	Je bent gek
Siki	Cool
Sisa	Zus
Six feet	Dood
Sjakie	Sukkel
Sjenk	Mes
Sjenken	Steken
Sjig	Leugen
Sjikiman	Stom
Sjing	Schande
Skaatje	Schatje
Skaffa	Stoned
Skatten	Vrijen
Skaveren	Eten
Skeamen	Loeren
Skeemen	Spieken
Skeer	Arm
Skeer	Blut
Sketten	Borsten
Skevie	Scheveningen
Skiddy	Liefje
Skidy	Lief
Skiffy	Scheveningen
Skinny	Mager
Skippen	spijbelen
Skitmo	Schijt aan
Skitta	Schijt aan
Skootoe	Politieagent
Skoro	School
Skotoe	Politie
Skraal	Oneerlijk
Skraffa	Cool
Skrieki	Schrikken
Slanging	Dealen
Sloerie	Slet
Sma	Meisje
Smatje	Meisje
Smatje	Schatje
Smocho	Je bent erg
Smoe	Roken
Smoke	Roken
Smoken	Blowen
Smooth	Cool
Snaak	Joint
Snaap	Vreemd
Snaapse lik	Vreemde persoon
Snagga	Sigaret
Snitch	Verrader
Soema	Wie
Soetoe	Hijsje
Soetoe	Roken (joint)
Soetoe	Roken (sigaret)
Soetoe	Trekje
Soma	Dun persoon
Soma	Somaliër
Soppie	Drinken
Sosa	Cocaïne
Sosaa	Cocaïne
Spacen	Dom doen
Spang	Lekker
Spange	Lekker
Spange chick	Meisje (mooi)
Spange chick	Meisje (mooi)
Spebbe	Dik persoon
Spieren	Erectie
Spiffy	Cool
Spijker	Gierig
Spliff	Joint
Splitten	Wegwezen
Spopo	Spoorwegpolitie
Spuiter	Gangmaker
Sranang	Suriname
Stacks	Geld
Stamang	Kabel
Stamma	Vriend
Standaard	Vanzelfsprekend
Stanko	Vriend
Stibbi	Erectie
Stiffa	Erectie
Stigga	Steeg
Stikri	Aansteker
Stilo	Mode
Stinna	Steen
Stof	Hasj
Stof	Wiet
Stofzuigen	Fellatio
Strak	Cool
Strakke poster	Brutaal gezicht
Strano	Raar
Strap	Geweer
Stroggel	Ruzie
Stronken	Stoned en dronken
Stuka	Studeren
Styl	Cool
Styling	Leuk
Suchaaa	Sukkel
Sunchi	Kusje
Sup?	Hoe gaat het?
Swa	Gozer
Swa	Jongen
Swa	Vriend
